Cite Number,Issue Date,Violat,Sublocatio,Street,Meter #,Is Wa,Due
M201507360,02/16/2018,PSW,700,YORK ST,,NO,0.00
M201306003,01/05/2018,HO,100S,1ST ST,,NO,0.00
M202705546,01/18/2018,X,N200,1ST ST,3012,NO,0.00
M202802800,01/10/2018,NPP,500W,LIBERTY ST,,NO,0.00
M200208507,02/23/2018,NP,200E,CHESTNUT ST,,NO,0.00
M200209136,03/15/2018,X,400E,MUHAMMAD ALI BLVD,ALI406EB,NO,0.00
M201507129,01/18/2018,X,300BLOCK,MUHAMMAD ALI BLVD,NA,NO,0.00
M201608912,01/02/2018,X,600W,LIBERTY ST,697,NO,50.00
M200409134,02/27/2018,NSR,1800,BROOK ST,,NO,0.00
M200706259,02/01/2018,X,700W,MAIN ST,305,NO,50.00
M200610880,03/05/2018,X,200,MUHAMMAD ALI BLVD,2378,NO,0.00
M200208520,02/23/2018,X,500S,FLOYD ST,FL521B,NO,50.00
M200610593,02/23/2018,NPP,400,MUHAMMAD ALI BLVD,,NO,50.00
M201507686,03/15/2018,NPP,1100,BARDSTOWN RD,,NO,0.00
M202706225,03/20/2018,H,W600,JEFFERSON ST,,NO,100.00
M201306503,01/23/2018,NPP,900,BAXTER AVE,,NO,0.00
M201610531,03/06/2018,X,600S,BROOK ST,1141,NO,50.00
M201306124,01/10/2018,X,S,8TH ST,187,NO,0.00
M202803587,03/21/2018,X,W600,JEFFERSON ST,424,NO,15.00
M200008003,03/23/2018,X,S100,6TH ST,95,NO,15.00
M201507583,03/07/2018,X,600,MAIN ST,279,NO,50.00
M202900005,02/01/2018,X,W700,LIBERTY ST,712,NO,50.00
M200208680,02/28/2018,X,500S,FLOYD ST,FL502B,NO,0.00
M202401563,01/11/2018,X,S2000,4TH ST,4328,NO,0.00
M200007545,03/02/2018,PT2,E800,MARKET ST,,NO,0.00
M200506779,01/27/2018,X,700E,MARKET ST,2746,NO,50.00
M200006944,02/07/2018,NSR,N100,7TH ST,,NO,0.00
M202705682,01/23/2018,X,S200,5TH ST,83,NO,0.00
M200706297,02/06/2018,H,600W,JEFFERSON ST,,NO,135.00
M202705622,01/22/2018,X,W500,JEFFERSON ST,648,NO,0.00
M200506784,01/27/2018,X,1500E,HIGHLAND AVE,4609,NO,0.00
M202803241,02/14/2018,X,600,WASHINGTON ST,586,NO,0.00
M200806337,02/07/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M200706730,03/14/2018,X,100S,1ST ST,2780,NO,0.00
M201306457,01/22/2018,X,4-2014S,4TH ST,4354,YES,0.00
M200610708,02/28/2018,X,600,1ST ST,888,NO,0.00
M201404416,01/03/2018,X,500S,LIBERTY ST,778,NO,0.00
M200303402,01/03/2018,BT,600 W,JEFFERSON ST,,NO,0.00
M200007832,03/14/2018,NSR,900,BAXTER AVE,,NO,0.00
M201609768,02/07/2018,NPG,400S,5TH ST,,NO,50.00
M201610809,03/15/2018,X,400W,LIBERTY ST,2226,NO,0.00
M201404597,01/16/2018,X,200E,MUHAMMAD ALI BLVD,4939,NO,50.00
M202900496,02/23/2018,NPP,1224,BROADWAY,,NO,0.00
M201610180,02/22/2018,X,300S,6TH ST,1,NO,50.00
M201610009,02/14/2018,X,500S,1ST ST,895,NO,0.00
M201707419,02/17/2018,X,100W,JEFFERSON ST,2276,NO,0.00
M200007818,03/14/2018,X,W700,MAIN ST,312,NO,0.00
M202803563,03/20/2018,X,400 W,MUHAMMAD ALI BLVD,2273,NO,0.00
M200506308,01/06/2018,X,1900S,3RD ST,4219,NO,0.00
M202401773,03/08/2018,X,100,1ST ST,102,NO,0.00
M201306315,01/18/2018,X,BD1603B,BARDSTOWN RD,2359,NO,0.00
M200208991,03/12/2018,X,600S,BROOK ST,BR604B,NO,0.00
M201108822,02/02/2018,X,600,LIBERTY ST,698,NO,0.00
M201507333,02/14/2018,X,300,MAIN ST,2626,NO,0.00
M202705529,01/17/2018,X,S200,7TH ST,159,NO,0.00
M201306436,01/22/2018,X,3-1903S,3RD ST,4212,NO,0.00
M201306017,01/05/2018,PSW,700,BROADWAY,,NO,50.00
M201609672,02/03/2018,X,600W,JEFFERSON ST,411,NO,0.00
M201108883,02/08/2018,X,300,6TH ST,6,NO,50.00
M201307060,03/12/2018,X,MA100BW,MAIN ST,2661,NO,0.00
M202401745,03/07/2018,H,200,5TH ST,,NO,135.00
M200506446,01/13/2018,X,1900E,DOUGLASS BLVD,4563,NO,0.00
M201404463,01/05/2018,X,400E,CHESTNUT ST,1392,NO,0.00
M200609980,02/02/2018,X,700,4TH ST,3802,NO,0.00
M200705960,01/02/2018,NPP,500S,5TH ST,,NO,0.00
M200506198,01/02/2018,X,500BLOCK,FLOYD ST,NA,NO,0.00
M200706132,01/13/2018,X,100E,MAIN ST,3189,NO,0.00
M200208556,02/23/2018,X,600S,FLOYD ST,FL609B,NO,0.00
M200610794,03/02/2018,X,100,CHESTNUT ST,874,NO,0.00
M200303475,01/10/2018,BT,1100,1ST ST,,NO,0.00
M201610208,02/22/2018,X,200 S,CHESTNUT ST,1160,NO,50.00
M202401524,01/10/2018,X,S1800,4TH ST,4325,NO,0.00
M202705540,01/18/2018,NPC,S300,6TH ST,,NO,0.00
M200007335,02/21/2018,X,S100,5TH ST,66,NO,0.00
M201307380,03/20/2018,X,DU2224,DUNDEE RD,4589,NO,15.00
M201405206,02/19/2018,X,300E,MUHAMMAD ALI BLVD,1308,NO,0.00
M200611029,03/14/2018,PCO,600,4TH ST,,NO,0.00
M202803255,02/14/2018,NPP,600,BAXTER AVE,,NO,50.00
M200208902,03/08/2018,X,500E,CHESTNUT ST,CH519EB,NO,50.00
M201507712,03/21/2018,NPP,500,KENTUCKY ST,,NO,15.00
M200208679,02/28/2018,X,100E,CHESTNUT ST,CH100E,NO,0.00
M200007194,02/16/2018,X,S100,5TH ST,80,NO,0.00
M200408493,01/26/2018,NSR,1900,FLOYD ST,,NO,0.00
M201610803,03/15/2018,H,200,ABRAHAM FLEXNER WAY,,NO,110.00
M200506449,01/13/2018,X,2200S,DUNDEE RD,4578,NO,0.00
M200409507,03/15/2018,97,300,LEE ST,,NO,0.00
M201507657,03/13/2018,NPP,100,KENTUCKY ST,,NO,0.00
M202803349,02/22/2018,NPP,1200,BARDSTOWN RD,,NO,0.00
M200611202,03/21/2018,X,400,MUHAMMAD ALI BLVD,674,NO,15.00
M200007987,03/22/2018,X,E600,MARKET ST,2726,NO,15.00
M200007310,02/20/2018,X,2200,DUNDEE RD,4592,NO,0.00
M200408200,01/09/2018,97,200,BLOOM ST,,NO,0.00
M200408305,01/19/2018,97,200,BLOOM ST,,NO,0.00
M200408519,01/29/2018,97,200,BLOOM ST,,NO,0.00
M200409601,03/21/2018,97,200,BLOOM ST,,NO,0.00
M201707009,01/16/2018,NPP,100S,5TH ST,,NO,0.00
M200706447,02/20/2018,X,500W,MARKET ST,2585,NO,0.00
M202803332,02/19/2018,X,600,JEFFERSON ST,430,NO,50.00
M201507494,02/27/2018,NPP,3000,3RD ST,,NO,0.00
M202705712,01/25/2018,NSR,W600,JEFFERSON ST,,NO,0.00
M201507383,02/20/2018,X,100,BROOK ST,3054,NO,0.00
M201609804,02/08/2018,PFH,1800,BROOK ST,,NO,0.00
M201507445,02/24/2018,X,1900,3RD ST,4229,NO,0.00
M200409143,02/27/2018,NSR,1600,2ND ST,,NO,0.00
M200007270,02/19/2018,PT2,S1700,2ND ST,,NO,0.00
M200610806,03/03/2018,X,600,JEFFERSON ST,411,NO,50.00
M200208944,03/09/2018,NPC,200E,CHESTNUT ST,,NO,0.00
M202803093,02/05/2018,X,100,6TH ST,95,NO,0.00
M200006792,02/01/2018,78,W400,BLOOM ST,,NO,0.00
M200408827,02/13/2018,78,400,BLOOM ST,,NO,0.00
M202900419,02/16/2018,78,400,BLOOM ST,,NO,0.00
M200507278,03/17/2018,X,2000E,HIGHLAND AVE,2206,NO,25.00
M201405272,02/28/2018,X,500,5TH ST,2049,NO,0.00
M200806506,02/23/2018,X,E600,MARKET ST,2740,NO,50.00
M201405006,02/06/2018,X,100E,GRAY ST,997,NO,0.00
M200303623,02/06/2018,BT,600,3RD ST,,NO,0.00
M201306440,01/22/2018,X,3-1904S,3RD ST,4213,NO,0.00
M200706893,03/20/2018,X,800W,MARKET ST,266,NO,15.00
M200706949,03/22/2018,HO,500s,ARMORY PL,,NO,0.00
M202802729,01/02/2018,NPP,900,BAXTER AVE,,NO,0.00
M200706836,03/19/2018,X,100S,5TH ST,68,NO,0.00
M200208831,03/06/2018,NSR,600S,FLOYD ST,,NO,50.00
M200209344,03/23/2018,NPP,600S,PRESTON ST,,NO,15.00
M200609617,01/19/2018,X,600,5TH ST,1899,NO,0.00
M200208724,03/02/2018,X,600S,FLOYD ST,FL615B,NO,0.00
M200208911,03/08/2018,X,500S,PRESTON ST,P510B,NO,50.00
M200507079,02/17/2018,X,1600E,ELLWOOD AVE,4599,NO,0.00
M202705649,01/23/2018,X,W800,JEFFERSON ST,668,NO,0.00
M202401793,03/08/2018,X,100,6TH ST,102B,NO,0.00
M202706268,03/22/2018,X,S300,8TH ST,192,NO,0.00
M200609630,01/19/2018,X,700,8TH ST,3912,NO,0.00
94772462,01/03/2018,PSC,8918,BRANDYWYNE DR,,NO,0.00
M200007258,02/19/2018,NPC,E300,LEE ST,,NO,0.00
M201707196,02/01/2018,NPP,500S,5TH ST,,NO,0.00
M200610832,03/03/2018,X,600,LIBERTY ST,682,NO,0.00
M201306367,01/19/2018,NP,100E,MAIN ST,,NO,0.00
M201610987,03/20/2018,LZF,400W,LIBERTY ST,,YES,0.00
M200610503,02/21/2018,NPP,300,MUHAMMAD ALI BLVD,,NO,0.00
M200706026,01/06/2018,X,200E,ABRAHAM FLEXNER WAY,1079,NO,0.00
M200611052,03/14/2018,NPP,400,CHESTNUT ST,,NO,25.00
M201610170,02/20/2018,X,300S,6TH ST,581,NO,0.00
M201507099,01/08/2018,NPP,1000,BARRET AVE,,NO,0.00
M202802798,01/10/2018,X,300S,8TH ST,194,NO,50.00
M200806537,02/27/2018,X,1600,LUCIA AVE,4627,NO,0.00
M201306467,01/23/2018,X,LU1605A,LUCIA AVE,4634,NO,50.00
M200507335,03/17/2018,X,1900E,HARVARD DR,4619,NO,25.00
M200610395,02/16/2018,X,400,LIBERTY ST,2225,NO,50.00
M201609369,01/22/2018,HO,lib401b,LIBERTY ST,,NO,0.00
M200506723,01/25/2018,X,600,3RD ST,1870,NO,0.00
M202706222,03/20/2018,X,W600,JEFFERSON ST,417,NO,0.00
M200408640,01/31/2018,78,1800,3RD ST,,NO,0.00
M201609174,01/13/2018,X,700W,MAIN ST,306,NO,0.00
M202401577,01/18/2018,D,100S,2ND ST,,NO,60.00
M202401575,01/18/2018,P24,100N,3RD ST,,NO,25.00
M201307089,03/12/2018,X,M509BW,MARKET ST,2594,NO,25.00
M202803598,03/21/2018,X,W600,JEFFERSON ST,411,NO,15.00
M201306499,01/23/2018,NPC,1600,LUCIA AVE,,NO,0.00
M200610596,02/23/2018,X,600,1ST ST,1025,NO,0.00
M202803019,01/27/2018,X,2400,FLOYD ST,4431,NO,0.00
M202802950,01/22/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M201611077,03/24/2018,X,400S,1ST ST,1402,NO,15.00
M200506690,01/24/2018,X,600,4TH ST,2044,NO,0.00
M200006591,01/24/2018,97,S1700,2ND ST,,NO,0.00
M200408649,02/01/2018,97,1700,2ND ST,,NO,0.00
M200806117,01/16/2018,AB,1000,EVERETT AVE,,NO,50.00
M200806170,01/22/2018,AB,1000,EVERETT AVE,,NO,50.00
M201610455,03/02/2018,X,500W,JEFFERSON ST,653,NO,50.00
M201707432,02/27/2018,X,E300,CHESTNUT ST,1365,NO,0.00
M202401417,01/05/2018,X,W700,MAIN ST,299,NO,0.00
M202900349,02/14/2018,78,1800,2ND ST,,NO,0.00
M200806546,02/27/2018,NPC,E700,MARKET ST,,NO,0.00
M201307151,03/13/2018,NPP,900,BAXTER AVE,,NO,25.00
M200610774,03/02/2018,X,400,MUHAMMAD ALI BLVD,2442,NO,0.00
M202705435,01/12/2018,X,W300,GUTHRIE ST,2029,NO,0.00
M200208776,03/05/2018,X,500S,FLOYD ST,FL523B,NO,0.00
M201108891,02/08/2018,X,400,7TH ST,612,NO,50.00
M200409178,02/28/2018,78,400,BLOOM ST,,NO,0.00
M200409355,03/07/2018,78,400,BLOOM ST,,NO,0.00
M201707226,02/02/2018,X,400W,MARKET ST,2573,NO,0.00
M200706294,02/06/2018,X,100S,6TH ST,96,NO,0.00
M201507437,02/24/2018,X,2000,HIGHLAND AVE,4610,NO,50.00
M202803091,02/05/2018,X,400,MAIN ST,2635,NO,0.00
M201707634,03/15/2018,X,400S,6TH ST,468,NO,0.00
M202802841,01/13/2018,X,1600,LUCIA AVE,4634,NO,0.00
M200806121,01/17/2018,X,1600,LUCIA AVE,4628,NO,0.00
M202900071,02/03/2018,X,1600,LUCIA AVE,4627,NO,0.00
M200806767,03/19/2018,X,1600,LUCIA AVE,4628,NO,0.00
M202705580,01/18/2018,NPP,S100,5TH ST,,NO,0.00
M200610186,02/08/2018,X,100,CHESTNUT ST,4945,NO,0.00
M201707624,03/15/2018,NPP,300W,LIBERTY ST,,NO,0.00
M201507149,01/18/2018,X,500BLOCK,PRESTON ST,NA,NO,0.00
M202803190,02/10/2018,X,700,4TH ST,3806,NO,0.00
M201610742,03/14/2018,X,600,PRESTON ST,1280,NO,0.00
M201306362,01/19/2018,X,FL103BS,FLOYD ST,3083,NO,0.00
M200610883,03/05/2018,X,300,MUHAMMAD ALI BLVD,2268,NO,50.00
M201609989,02/13/2018,NPP,400W,LIBERTY ST,,NO,0.00
M201707765,03/20/2018,NPP,400W,LIBERTY ST,,NO,15.00
M200806107,01/16/2018,X,E700,MARKET ST,2752,NO,0.00
M201707773,03/21/2018,X,400W,MARKET ST,2563,NO,0.00
M201109032,02/22/2018,X,600,MAIN ST,290,NO,0.00
M202401501,01/10/2018,97,W200,BLOOM ST,,NO,0.00
M202401523,01/10/2018,X,S1900,3RD ST,4217,NO,0.00
M200006605,01/24/2018,X,S1900,3RD ST,4225,NO,0.00
M200609497,01/09/2018,X,200,MUHAMMAD ALI BLVD,2253,NO,0.00
M201707464,02/27/2018,X,500 W,MARKET ST,2586,NO,0.00
M200409148,02/27/2018,NPC,1800,FLOYD ST,,NO,0.00
M200208772,03/05/2018,H,200E,GRAY ST,,NO,135.00
M200303461,01/08/2018,PSW,700,COLORADO AVE,,NO,0.00
M201507386,02/20/2018,NP,1800,2ND ST,,NO,0.00
M200007368,02/22/2018,PT2,E800,MARKET ST,,NO,0.00
M200506394,01/10/2018,X,300,LIBRARY PL,4178,NO,0.00
M201609546,01/27/2018,X,200E,MAIN ST,3272,NO,0.00
M201306621,01/29/2018,X,4-2002,4TH ST,4331,NO,0.00
M201507331,02/12/2018,X,1900,4TH ST,4237,NO,0.00
M201306956,03/06/2018,X,200 N,1ST ST,3030,NO,0.00
M200408192,01/05/2018,X,500,HANCOCK ST,1708,NO,0.00
M202705799,01/29/2018,PCO,W500,JEFFERSON ST,,NO,50.00
M201610858,03/16/2018,X,400W,LIBERTY ST,2227,NO,15.00
M202803559,03/20/2018,X,300 W,MUHAMMAD ALI BLVD,2262,NO,0.00
M202900257,02/09/2018,X,S2000,4TH ST,4367,NO,0.00
M202803534,03/16/2018,X,400 E,CHESTNUT ST,1407,NO,0.00
M202705679,01/23/2018,X,W500,MARKET ST,2601,NO,0.00
M200408825,02/13/2018,97,1700,3RD ST,,NO,0.00
M200409398,03/08/2018,97,1700,3RD ST,,NO,0.00
M200408495,01/26/2018,NSR,1700,5TH ST,,NO,0.00
M201405248,02/20/2018,X,600S,FLOYD ST,1509,NO,50.00
M200506840,02/03/2018,X,200W,GAULBERT AVE,4275,NO,0.00
M200409318,03/03/2018,X,200,GAULBERT AVE,4930,NO,0.00
M201306898,02/19/2018,X,P105PS,PRESTON ST,3390,NO,0.00
M201610189,02/22/2018,X,400S,6TH ST,384,NO,50.00
M201306478,01/23/2018,X,BD1313B,BARDSTOWN RD,4686,NO,0.00
M202705796,01/29/2018,X,S300,2ND ST,2297,NO,50.00
M200609397,01/02/2018,X,300,YORK ST,3971,NO,0.00
M200007602,03/05/2018,X,W300,CARDINAL BLVD,4297,NO,0.00
M201609217,01/16/2018,HO,ch203ea,CHESTNUT ST,,NO,0.00
M200408911,02/20/2018,78,400,BLOOM ST,,NO,70.00
M201507378,02/19/2018,NPP,1500,BARDSTOWN RD,,NO,50.00
M202401499,01/10/2018,97,W200,BLOOM ST,,NO,0.00
M200806156,01/18/2018,X,700,6TH ST,4963,NO,0.00
M200408722,02/07/2018,97,1700,2ND ST,,NO,0.00
M200408920,02/20/2018,97,200,BLOOM ST,,NO,0.00
M201404896,01/31/2018,X,500S,HANCOCK ST,4906,NO,0.00
M200007533,03/02/2018,X,2200,DUNDEE RD,4582,NO,0.00
M201108571,01/04/2018,X,300,MUHAMMAD ALI BLVD,2269,NO,0.00
M200409573,03/20/2018,97,1800,2ND ST,,NO,0.00
M200408725,02/07/2018,NPC,1800,FLOYD ST,,NO,0.00
M201707513,03/01/2018,X,W600,CEDAR ST,394,NO,0.00
M201707093,01/27/2018,X,100N,7TH ST,129,NO,50.00
M201707447,02/27/2018,X,W500,JEFFERSON ST,648,NO,50.00
M200007074,02/13/2018,X,W400,MAIN ST,2642,NO,0.00
M202401796,03/08/2018,X,600,WASHINGTON ST,611A,NO,0.00
M200006965,02/07/2018,PT4,w600,GARAGE - 6TH & MAIN,,NO,50.00
M200208774,03/05/2018,NP,500S,FLOYD ST,,NO,50.00
M201108961,02/20/2018,X,300,CHESTNUT ST,1380,NO,50.00
M201610223,02/22/2018,X,300E,CHESTNUT ST,1380,NO,50.00
M200806425,02/13/2018,BT,E800,MARKET ST,,NO,0.00
M202803637,03/22/2018,X,300 W,MAIN ST,2626,NO,15.00
M200806246,01/29/2018,X,E600,MARKET ST,2734,NO,0.00
M201610615,03/10/2018,X,300S,2ND ST,2293,NO,50.00
M200409497,03/14/2018,PSW,700,YORK ST,,NO,25.00
M200610518,02/21/2018,NSR,600,6TH ST,,NO,50.00
M200609978,02/02/2018,X,700,4TH ST,3801,NO,50.00
M201609964,02/13/2018,X,400W,JEFFERSON ST,2452,NO,0.00
M200806613,03/06/2018,X,E700,MARKET ST,4998,NO,0.00
M201307252,03/15/2018,X,1-203AN,1ST ST,3014,NO,25.00
M200007788,03/13/2018,X,S100,5TH ST,74,NO,25.00
M201609973,02/13/2018,PFH,600W,JEFFERSON ST,,NO,50.00
M201108705,01/22/2018,X,400,MUHAMMAD ALI BLVD,4837,NO,0.00
M202900378,02/14/2018,NPP,W200,LIBERTY ST,,NO,0.00
M201305934,01/02/2018,X,100N,FLOYD ST,3083,NO,0.00
M201307226,03/15/2018,X,1-201BN,1ST ST,3009,NO,0.00
M201307360,03/20/2018,X,FL200LS,FLOYD ST,3098,NO,15.00
M200303797,03/22/2018,BT,S600,FLOYD ST,,NO,0.00
M200007889,03/16/2018,NP,500,RODMAN ST,,NO,25.00
M200008010,03/23/2018,X,W400,MAIN ST,2633,NO,15.00
M202705605,01/19/2018,NPP,W500,LIBERTY ST,,NO,0.00
M202900047,02/02/2018,X,S300,6TH ST,258,NO,0.00
M200208646,02/27/2018,X,500S,HANCOCK ST,HK516A,NO,0.00
M200611008,03/13/2018,X,300,LIBRARY PL,4174,NO,0.00
M201610751,03/14/2018,X,400W,LIBERTY ST,2227,NO,0.00
M202705359,01/10/2018,H,W600,JEFFERSON ST,,NO,0.00
M201609006,01/05/2018,X,700S,4TH ST,3811,NO,0.00
M201507697,03/19/2018,X,600,PRESTON ST,1284,NO,0.00
M200303546,01/23/2018,BT,E600,CLAY ST,,NO,0.00
M200806453,02/15/2018,X,E700,MARKET ST,2765,NO,0.00
M200609536,01/10/2018,X,600,1ST ST,1012,NO,50.00
M200706504,02/28/2018,X,300W,MAIN ST,5023,NO,50.00
M201306980,03/07/2018,X, 600 S,FLOYD ST,4896,NO,0.00
M201610691,03/13/2018,NSR,400E,CHESTNUT ST,,NO,0.00
M201609422,01/23/2018,X,400W,LIBERTY ST,2225,NO,50.00
M200610360,02/15/2018,X,200,MUHAMMAD ALI BLVD,2252,NO,0.00
M200208550,02/23/2018,NPP,600 S,PRESTON ST,,NO,0.00
M202802952,01/22/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M201306906,02/19/2018,X,1-206BE,1ST ST,3027,NO,15.00
M201610860,03/16/2018,NSR,400W,JEFFERSON ST,,NO,0.00
M200007752,03/12/2018,X,E300,CHESTNUT ST,1382,NO,25.00
M200806680,03/10/2018,X,2000,4TH ST,4237,NO,25.00
M201507673,03/15/2018,X,600,FLOYD ST,4895,NO,0.00
M200806441,02/15/2018,BT,E600,MARKET ST,,NO,0.00
M200209175,03/20/2018,X,500S,1ST ST,1523,NO,15.00
M201609481,01/24/2018,X,700W,LIBERTY ST,718,NO,50.00
M201307101,03/12/2018,X,MA603BW,MAIN ST,279,NO,25.00
M201610811,03/15/2018,X,400W,LIBERTY ST,2244,NO,25.00
M201707479,02/28/2018,AB,W600,JEFFERSON ST,,NO,50.00
M202401731,03/07/2018,X,600W,JEFFERSON ST,421,NO,50.00
M200609628,01/19/2018,X,700,BROADWAY,3505,NO,0.00
M200806786,03/20/2018,P24,500,RUBEL AVE,,NO,0.00
M201610267,02/23/2018,X,600W,JEFFERSON ST,429,NO,0.00
M201707780,03/21/2018,X,600W,JEFFERSON ST,431,NO,15.00
M201108829,02/05/2018,X,300,6TH ST,6,YES,0.00
M201507409,02/21/2018,NSR,1300,BARDSTOWN RD,,NO,50.00
M201306004,01/05/2018,D,E,MAIN ST,,NO,85.00
M200706233,01/31/2018,NPP,100S,5TH ST,,NO,50.00
M201609392,01/23/2018,X,200E,GRAY ST,1209,NO,0.00
M200706183,01/29/2018,X,100S,3RD ST,2547,NO,0.00
M200006832,02/02/2018,97,S1800,2ND ST,,NO,0.00
M200806704,03/10/2018,X,1100,STORY AVE,4883,NO,0.00
M202803469,03/14/2018,X,300 S,5TH ST,2364,NO,0.00
M200706432,02/20/2018,X,400W,MAIN ST,2653,NO,0.00
M200408760,02/09/2018,NSR,1800,BROOK ST,,NO,0.00
M200610341,02/14/2018,X,400,MUHAMMAD ALI BLVD,2434,NO,50.00
M201609754,02/07/2018,PFH,200,ABRAHAM FLEXNER WAY,,NO,0.00
M200208731,03/02/2018,X,400E,CHESTNUT ST,CH413EB,NO,50.00
M200706371,02/09/2018,X,100N,1ST ST,3036,NO,50.00
M200208990,03/12/2018,HO,br606b,BROOK ST,,NO,25.00
M200609974,02/02/2018,X,600,4TH ST,2041,NO,0.00
M200408483,01/26/2018,P30,2300,CRITTENDEN DR,,NO,0.00
M202401402,01/05/2018,X,S100,7TH ST,143,NO,0.00
M201610900,03/17/2018,X,500,JACKSON ST,1566,NO,25.00
M201707820,03/23/2018,X,100N,7TH ST,133,NO,15.00
M200303612,02/02/2018,BT,400 S,7TH ST,,NO,0.00
M201405005,02/06/2018,X,400E,GRAY ST,1533,NO,0.00
M200610683,02/27/2018,NPP,400,CHESTNUT ST,,NO,0.00
M201108781,01/31/2018,X,400,CHESTNUT ST,2113,NO,0.00
M200006609,01/24/2018,X,S2000,4TH ST,4369,NO,0.00
M200208797,03/05/2018,HO,ch321eb,CHESTNUT ST,,NO,0.00
M200208893,03/08/2018,HO,ch321ea,CHESTNUT ST,,NO,0.00
M201307064,03/12/2018,X,6-103AS,6TH ST,92,NO,0.00
M202803384,03/09/2018,X,500 S,4TH ST,2032,NO,50.00
M200007708,03/08/2018,HO,W700,MAIN ST,,NO,0.00
M200706789,03/16/2018,X,100N,7TH ST,138,NO,0.00
M200303671,02/20/2018,BT,200 E,WASHINGTON ST,,NO,0.00
M201610962,03/20/2018,NP,200E,CHESTNUT ST,,NO,15.00
M200006675,01/26/2018,X,E200,MARKET ST,349,NO,0.00
M202802812,01/10/2018,X,300W,MUHAMMAD ALI BLVD,2259,NO,50.00
M202803417,03/12/2018,NPP,400 W,LIBERTY ST,,NO,25.00
M200706480,02/22/2018,X,400W,MAIN ST,2642,NO,50.00
M200806604,03/06/2018,NP,100,WEBSTER ST,,NO,0.00
M201306754,02/01/2018,X,FL206NR,BROOK ST,3072,NO,0.00
M200007671,03/07/2018,X,1200,STORY AVE,2946,NO,0.00
M200006919,02/05/2018,PTZ,W100,HILL ST,,NO,0.00
M202705986,03/05/2018,X,W600,JEFFERSON ST,419,NO,50.00
M201307213,03/14/2018,X,DU2202,DUNDEE RD,4578,NO,0.00
M200609685,01/25/2018,X,500,FLOYD ST,1479,NO,50.00
M201609121,01/11/2018,X,400W,MARKET ST,2572,NO,0.00
M200006727,01/29/2018,PT2,S1800,2ND ST,,NO,0.00
M201609204,01/13/2018,X,100E,MARKET ST,2539,NO,0.00
M201609149,01/12/2018,X,500E,CHESTNUT ST,2401,NO,0.00
M200611222,03/22/2018,X,600,4TH ST,941,NO,15.00
M201507139,01/18/2018,X,500BLOCK,HANCOCK ST,NA,NO,0.00
M201707208,02/02/2018,X,100S,8TH ST,370,NO,0.00
M200706414,02/14/2018,X,400W,MAIN ST,2640,NO,0.00
M201404399,01/02/2018,NP,200E,CHESTNUT ST,,NO,0.00
M200610571,02/22/2018,NSR,400,3RD ST,,NO,0.00
M200706950,03/22/2018,LZF,300W,MUHAMMAD ALI BLVD,,NO,15.00
M200208946,03/09/2018,X,400S,BROOK ST,BR418,NO,50.00
M201405010,02/07/2018,X,300E,MUHAMMAD ALI BLVD,1308,NO,50.00
M201306890,02/16/2018,X,MA602BW,MAIN ST,277,NO,0.00
M201611095,03/24/2018,NPC,100E,CHESTNUT ST,,NO,15.00
M200408423,01/25/2018,97,1700,2ND ST,,NO,0.00
M200408650,02/01/2018,97,1700,2ND ST,,NO,0.00
M200609771,01/26/2018,X,700,8TH ST,3908,NO,0.00
M201109041,02/22/2018,X,300,8TH ST,205,NO,50.00
M200007212,02/16/2018,PT2,S100,GARAGE - 6TH & MAIN,,NO,0.00
M200610582,02/22/2018,X,700,3RD ST,3793,NO,0.00
M201305931,01/02/2018,X,S,PRESTON ST,3383,NO,0.00
M201404624,01/17/2018,X,400E,MUHAMMAD ALI BLVD,4960,YES,0.00
94855740,02/16/2018,EX,300 S,10TH ST,,NO,50.00
M200806465,02/16/2018,BT,E800,MARKET ST,,NO,0.00
M202401713,03/06/2018,X,600,WASHINGTON ST,603A,NO,25.00
M201610013,02/14/2018,X,500S,FLOYD ST,1455,NO,0.00
M201306519,01/24/2018,X,BR208N,BROOK ST,3074,NO,0.00
M201404922,01/31/2018,X,600S,FLOYD ST,1654,NO,0.00
M202401546,01/10/2018,X,S2400,FLOYD ST,4437,NO,0.00
M200610431,02/19/2018,X,400,6TH ST,472,NO,0.00
M201306105,01/09/2018,X,100N,1ST ST,2415,NO,0.00
M201610578,03/08/2018,X,300E,MUHAMMAD ALI BLVD,1314,NO,0.00
M202705349,01/10/2018,X,S400,7TH ST,623,NO,0.00
M201707487,02/28/2018,X,300 S,3RD ST,2336,YES,0.00
M200506849,02/03/2018,PNP,1400S,4TH ST,,NO,0.00
M201609794,02/08/2018,PT2,2000,STANSBURY PARK,,NO,0.00
M201307327,03/16/2018,NPP,1000,BARDSTOWN RD,,NO,0.00
M200610112,02/07/2018,X,600,4TH ST,2046,NO,0.00
M200706602,03/03/2018,X,600S,4TH ST,2039,NO,0.00
M200806721,03/12/2018,X,E700,MARKET ST,2756,NO,0.00
M201507163,01/19/2018,X,500BLOCK,HANCOCK ST,NA,NO,0.00
M201306043,01/08/2018,X,100N,BROOK ST,3048,NO,0.00
M201306707,01/31/2018,X,BR100N,BROOK ST,3276,NO,0.00
